URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://schemas.scales-okn.org/rdf/scales#hasFJCJudgeDirID,has FJCJudge Dir ID,A unique ID that specifies a judge in the Federal Judicial Center's database of biographical data about federal judges.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://schemas.scales-okn.org/rdf/scales#hasHighestOffenseLevelOpening,has highest offense level opening,"The highest offense level (felony, misdemeanor) applicable to a given PACER party at the time their associated criminal case was opened.",Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://schemas.scales-okn.org/rdf/scales#hasHighestOffenseLevelTerminated,has highest offense level terminated,"The highest offense level (felony, misdemeanor) applicable to a given PACER party at the time they were terminated from their associated criminal case.",Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://schemas.scales-okn.org/rdf/scales#hasIdbAmtrec,has Idb Amtrec,Dollar amount received (in thousands) when appropriate.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbAppcd,has Idb Appcd,A code indicating the event by which a defendant appeared before a judicial officer in the district court where a charge was pending.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbAppdate,has Idb Appdate,The date when a defendant first appeared before a judicial officer in the district court where a charge was pending.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbArbit,has Idb Arbit,Method of participation in the Formal Arbitration Program.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCaslgky,has Idb Caslgky,"A concatenation of district, office, docket number, case type, and reopen sequence number.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCircuit,has Idb Circuit,The code of the federal judicial circuit where the case was located.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbClassact,has Idb Classact,"Indicates whether the case involves an allegation by the plaintiff that the complaint meets the prerequisites of a ""Class Action"" as provided in Rule 23 - FRCVP.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCounty,has Idb County,The FIPS code used to indicate the county or parish where an offense was committed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCtdef,has Idb Ctdef,A unique number assigned to each defendant in a case which can be modified by the court.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCtfil,has Idb Ctfil,A count of defendants filed excluding inter-district transfers.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCtfilr,has Idb Ctfilr,"A count of defendants filed whose proceedings commenced by reopen, remand, appeal, or retrial.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCtfiltrn,has Idb Ctfiltrn,A count of defendants filed including inter-district transfers.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCtfilwor,has Idb Ctfilwor,A count of original proceedings commenced.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCtpn,has Idb Ctpn,A count of defendants pending as of the last day of the period including long term fugitives.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCtpnwof,has Idb Ctpnwof,A count of defendants pending as of the last day of the period excluding long term fugitives.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCttr,has Idb Cttr,A count of defendants terminated excluding inter- district transfers.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCttrr,has Idb Cttrr,"A count of defendants terminated whose proceedings commenced by reopen, remand, appeal, or retrial.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCttrtrn,has Idb Cttrtrn,A count of defendants terminated including inter- district transfers.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbCttrwor,has Idb Cttrwor,A count of original proceedings terminated.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbD2foffcd1,has Idb D2foffcd1,The four digit D2 offense code associated with FTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbD2foffcd2,has Idb D2foffcd2,The four digit D2 offense code associated with FTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbD2foffcd3,has Idb D2foffcd3,The four digit D2 offense code associated with FTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbD2foffcd4,has Idb D2foffcd4,The four digit D2 offense code associated with FTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbD2foffcd5,has Idb D2foffcd5,The four digit D2 offense code associated with FTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#hasIdbD2toffcd1,has Idb D2toffcd1,The four digit D2 offense code associated with TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
