mondo_id,mondo_curie,disease_label
MONDO_0700089,MONDO:0700089,paroxysmal nonkinesigenic dyskinesia 1
MONDO_0019631,MONDO:0019631,persistent hyperplastic primary vitreous
MONDO_0013968,MONDO:0013968,PGM1-CDG
MONDO_0009861,MONDO:0009861,phenylketonuria
MONDO_0015643,MONDO:0015643,photosensitive epilepsy
MONDO_0012589,MONDO:0012589,Pitt-Hopkins syndrome
MONDO_0008907,MONDO:0008907,PMM2-CDG
MONDO_0008272,MONDO:0008272,polysyndactyly 4
MONDO_0008300,MONDO:0008300,Prader-Willi syndrome
MONDO_0016575,MONDO:0016575,primary ciliary dyskinesia
MONDO_0007571,MONDO:0007571,primary erythermalgia
MONDO_0007572,MONDO:0007572,primary familial polycythemia due to EPO receptor mutation
MONDO_0002474,MONDO:0002474,primary hyperoxaluria
MONDO_0009823,MONDO:0009823,primary hyperoxaluria type 1
MONDO_0007240,MONDO:0007240,"progressive familial heart block, type 1A"
MONDO_0008892,MONDO:0008892,progressive familial intrahepatic cholestasis type 1
MONDO_0020074,MONDO:0020074,progressive myoclonus epilepsy
MONDO_0019037,MONDO:0019037,progressive supranuclear palsy
MONDO_0011628,MONDO:0011628,propionic acidemia
MONDO_0019992,MONDO:0019992,pseudohypoparathyroidism
MONDO_0009329,MONDO:0009329,pulmonary venoocclusive disease 2
MONDO_0015597,MONDO:0015597,pustulosis palmaris et plantaris
MONDO_0019169,MONDO:0019169,pyruvate dehydrogenase deficiency
MONDO_0010717,MONDO:0010717,pyruvate dehydrogenase E1-alpha deficiency
MONDO_0009179,MONDO:0009179,recessive dystrophic epidermolysis bullosa
MONDO_0019200,MONDO:0019200,retinitis pigmentosa
MONDO_0011137,MONDO:0011137,retinitis pigmentosa 19
MONDO_0011272,MONDO:0011272,retinitis pigmentosa 25
MONDO_0013395,MONDO:0013395,retinitis pigmentosa 4
MONDO_0006952,MONDO:0006952,retinopathy of prematurity
MONDO_0010726,MONDO:0010726,Rett syndrome
MONDO_0015776,MONDO:0015776,rhizomelic chondrodysplasia punctata
MONDO_0008392,MONDO:0008392,Roussy-Levy syndrome
MONDO_0010006,MONDO:0010006,Sandhoff disease
MONDO_0009655,MONDO:0009655,Sanfilippo syndrome type A
MONDO_0011760,MONDO:0011760,Scheie syndrome
MONDO_0015974,MONDO:0015974,severe combined immunodeficiency
MONDO_0014168,MONDO:0014168,severe combined immunodeficiency due to CORO1A deficiency
MONDO_0009549,MONDO:0009549,severe early-childhood-onset retinal dystrophy
MONDO_0014206,MONDO:0014206,severe early-onset pulmonary alveolar proteinosis due to MARS deficiency
MONDO_0008722,MONDO:0008722,short chain acyl-CoA dehydrogenase deficiency
MONDO_0009833,MONDO:0009833,Shwachman-Diamond syndrome
MONDO_0011382,MONDO:0011382,sickle cell anemia
MONDO_0008394,MONDO:0008394,Silver-Russell syndrome
MONDO_0010035,MONDO:0010035,Smith-Lemli-Opitz syndrome
