rare_disease_name,oardkg_disease_id,prokn_disease_id,uniprot_accession,gene_symbols
alpha thalassemia,MONDO:0011399,OMIM:604131,P69905,HBA1; HBA2
MASS syndrome,MONDO:0011431,OMIM:604308,P35555,FBN; FBN1
hereditary spastic paraplegia 11,MONDO:0011445,OMIM:604360,Q96JI7,SPG11
Bohring-Opitz syndrome,MONDO:0011510,OMIM:605039,Q8IXJ9,ASXL1
late-onset retinal degeneration,MONDO:0011579,OMIM:605670,Q9BXJ0,UNQ303/PRO344; C1QTNF5; CTRP5
GNE myopathy,MONDO:0011603,OMIM:605820,Q9Y223,GNE
glycine encephalopathy,MONDO:0011612,OMIM:605899,P23378,GLDC
lymphangioleiomyomatosis,MONDO:0011705,OMIM:606690,P49815,TSC2
lymphangioleiomyomatosis,MONDO:0011705,OMIM:606690,Q92574,TSC1
encephalopathy due to GLUT1 deficiency,MONDO:0011724,OMIM:606777,P11166,SLC2A1
Scheie syndrome,MONDO:0011760,OMIM:607016,P35475,IDUA
sweet syndrome,MONDO:0011959,OMIM:608068,O15553,MEFV
MUTYH-related attenuated familial adenomatous polyposis,MONDO:0012041,OMIM:608456,Q9UIF7,MUTYH
myopia 6,MONDO:0012154,OMIM:608908,O43819,SCO2
long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,MONDO:0012173,OMIM:609016,P40939,HADHA
idiopathic aplastic anemia,MONDO:0012197,OMIM:609135,O14746,TERT
idiopathic aplastic anemia,MONDO:0012197,OMIM:609135,O60934,NBN
idiopathic aplastic anemia,MONDO:0012197,OMIM:609135,P01579,IFNG
Kostmann syndrome,MONDO:0012548,OMIM:610738,O00165,HAX1
Pitt-Hopkins syndrome,MONDO:0012589,OMIM:610954,P15884,TCF4
long QT syndrome 9,MONDO:0012736,OMIM:192500,P51787,KCNQ1
Brugada syndrome 3,MONDO:0012742,OMIM:611875,Q13936,CACNA1C
glycogen storage disease due to aldolase A deficiency,MONDO:0012747,OMIM:611881,P04075,ALDOA
amyotrophic lateral sclerosis type 10,MONDO:0012790,OMIM:612069,Q13148,TARDBP
"mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",MONDO:0012791,OMIM:612073,Q9P2R7,SUCLA2
"thrombophilia due to protein S deficiency, autosomal dominant",MONDO:0012868,OMIM:612336,P07225,PROS1
amyotrophic lateral sclerosis type 11,MONDO:0012945,OMIM:612577,Q92562,FIG4
glycogen storage disease due to muscle beta-enolase deficiency,MONDO:0013046,OMIM:612932,P13929,ENO3
congenital diarrhea 5 with tufting enteropathy,MONDO:0013184,OMIM:613217,P16422,EPCAM
tuberous sclerosis 2,MONDO:0013199,OMIM:613254,P49815,TSC2
"microcephaly, seizures, and developmental delay",MONDO:0013254,OMIM:613402,Q96T60,PNKP
alpha 1-antitrypsin deficiency,MONDO:0013282,OMIM:613490,P01009,SERPINA1
long QT syndrome 2,MONDO:0013367,OMIM:613688,Q12809,KCNH2
long QT syndrome 5,MONDO:0013372,OMIM:613688,Q12809,KCNH2
retinitis pigmentosa 4,MONDO:0013395,OMIM:613731,P08100,RHO
aneurysm-osteoarthritis syndrome,MONDO:0013426,OMIM:613795,P84022,SMAD3
autosomal systemic lupus erythematosus type 16,MONDO:0013743,OMIM:614420,Q13609,DNASE1L3
congenital diarrhea 6,MONDO:0013825,OMIM:614616,P25092,GUCY2C
PGM1-CDG,MONDO:0013968,OMIM:614921,P36871,PGM1
severe combined immunodeficiency due to CORO1A deficiency,MONDO:0014168,OMIM:615401,P31146,CORO1A
combined immunodeficiency due to MALT1 deficiency,MONDO:0014197,OMIM:615468,Q9UDY8,MALT1
severe early-onset pulmonary alveolar proteinosis due to MARS deficiency,MONDO:0014206,OMIM:615486,P56192,MARS1
combined immunodeficiency due to CD3gamma deficiency,MONDO:0014276,OMIM:615607,P09693,CD3G
familial dysfibrinogenemia,MONDO:0014452,OMIM:616004,P02671,FGA
familial dysfibrinogenemia,MONDO:0014452,OMIM:616004,P02675,FGB
familial dysfibrinogenemia,MONDO:0014452,OMIM:616004,P02679,PRO2061; FGG
atrial conduction disease,MONDO:0014500,OMIM:616117,Q59H18,TNNI3K
thrombocytopenia 6,MONDO:0014837,OMIM:616937,P12931,SRC
Brugada syndrome,MONDO:0015263,OMIM:601144,Q14524,SCN5A
butyrylcholinesterase deficiency,MONDO:0015270,OMIM:617936,P06276,BCHE
craniosynostosis,MONDO:0015469,OMIM:123100,Q15672,TWIST1
common variable immunodeficiency,MONDO:0015517,OMIM:607594,Q9Y6W8,ICOS
Dent disease,MONDO:0015612,OMIM:310468,P51795,CLCN5
Charcot-Marie-Tooth disease,MONDO:0015626,OMIM:118200,P25189,MPZ
rhizomelic chondrodysplasia punctata,MONDO:0015776,OMIM:215100,O00628,PEX7
macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,MONDO:0015912,OMIM:155100,P35579,MYH9
interstitial lung disease,MONDO:0015925,OMIM:616414,P53621,COPA
citrullinemia,MONDO:0015991,OMIM:215700,P00966,ASS1
"Ehlers-Danlos syndrome, kyphoscoliotic type 1",MONDO:0016002,OMIM:225400,Q02809,PLOD1
erythromelalgia,MONDO:0016028,OMIM:133020,Q15858,SCN9A
cleft palate,MONDO:0016064,OMIM:119540,Q9UPW6,SATB2
primary ciliary dyskinesia,MONDO:0016575,OMIM:244400,Q9UI46,DNAI1
conotruncal heart malformations,MONDO:0016581,OMIM:217095,A6NCS4,NKX2-6
conotruncal heart malformations,MONDO:0016581,OMIM:217095,O43435,TBX1
conotruncal heart malformations,MONDO:0016581,OMIM:217095,P27539,GDF1
conotruncal heart malformations,MONDO:0016581,OMIM:217095,P52952,NKX2-5
conotruncal heart malformations,MONDO:0016581,OMIM:217095,Q8WW38,ZFPM2
conotruncal heart malformations,MONDO:0016581,OMIM:217095,Q92908,GATA6
oligodendroglioma,MONDO:0016695,OMIM:137800,O75874,IDH1
oligodendroglioma,MONDO:0016695,OMIM:137800,P04626,ERBB2
oligodendroglioma,MONDO:0016695,OMIM:137800,P37231,PPARG
